user_input,reference_contexts,reference
How can D&C 84:85 guide a Latter-day Saint Family Counselor in preparing to teach gospel principles effectively?,"['Studying and Preparing to Teach the Lessons (Page 33) The lessons (found in chapter 3) contain the baptismal interview questions, commitments and doctrines that you are to teach. In the lessons you will also find useful ideas for teaching. However, the lessons do not tell you everything to say—or how to say it. Instead, you are responsible to thoroughly understand the lessons and teach by the Spirit in your own words. Teach so that others will strengthen their faith in Jesus Christ, desire to repent, and enter into covenants with God. Effective teachers are always working to improve their knowledge and abilities. Although you will not teach all you know about the doctrine, your increased knowledge will build your testimony and your ability to teach with spiritual power. You will know you are using the lessons as intended when you: - Seek and follow the Spirit as you prepare and teach the lessons. - Strive to consistently study, treasure up, and apply the doctrines in your life. - Work with your companion to make specific plans for each person you teach. - Focus on the central messages and doctrines as you teach. - Adjust the order, length, and pace of the lessons to meet the needs of those you teach. - Teach often from the scriptures with clarity and conviction. - Bear testimony frequently. - Help others make and keep commitments that lead to baptism and confirmation. Doing these things will enable you to help others gain a testimony of the restored gospel of Jesus Christ. As you begin your mission, you will need to learn the organization of the message and acquire the necessary teaching skills. As you gain experience, you will want to deepen your knowledge and enhance your teaching ability. As you prepare for teaching appointments, you will want to have a lesson plan that enables you to teach by the Spirit and help others make and keep commitments. The guidelines below are suggestions that you can apply throughout your mission. However, do not feel that you must use every guideline in every situation. Instead, apply these guidelines to meet your needs and as you are guided by the Spirit. If you are learning a new language, apply these guidelines in your native language first and then in your mission language. - **Focus on commitments and baptismal interview questions.** Teach so that people will make commitments and prepare for baptism and confirmation. Understand the baptismal interview questions and commitments for each lesson. Learn what someone should know, feel, and do because of your teaching. Work with your companion to explain these principles in your own words with clarity and power. - **Learn and apply the doctrine.** The doctrine is the foundation of the lesson. Prayerfully study the scriptures, lesson, brochures, “Ideas for Teaching,” and missionary library to gain a solid understanding of the doctrine. Search for material that supports the doctrine of the lessons. Commit to memory the sequence of doctrinal principles. Apply what you learn. Record what you learn in your study journal. Share what you learn with other missionaries. - **Organize and summarize what to teach.** To prepare to teach the doctrine clearly and with spiritual power, organize and summarize what you will teach into a lesson plan. Focus on the doctrine, baptismal interview questions, and commitments of the lessons. Enhance your lesson plan with scriptures, questions, and examples. These should vary according to the length of your teaching appointments. You should not create an entirely new lesson plan for each investigator, but you should continually refine your lesson plans and modify them to meet the needs of those you teach. When you are first creating a lesson plan, strive to be simple and brief. Enhance your lesson plans as you gain experience. - **Focus on needs.** While the doctrines of the gospel apply to everyone, you should adjust your teaching approach to meet the needs of those you teach. As you study doctrine and create lesson plans, identify areas where you can adjust your approach to meet potential needs. Review and refine these adjustments as you prepare for specific appointments. Identify the invitations you will extend. Focus on the ultimate goal of helping those you teach receive the restored gospel of Jesus Christ through baptism and confirmation. - **Prepare to answer questions.** As a missionary, you will hear many questions. Record these questions in your study journal. Search the scriptures and other materials for answers. Pray for understanding. Record the answers in your study journal. Review what you find with other missionaries. Add frequent questions and their answers to your study journal for reference. - **Teach the lesson.** Teaching is a powerful opportunity to improve your knowledge and ability. As you learn the doctrine and organize lesson plans, teach your companion and other missionaries. Try new explanations, approaches, experiences, questions, and ways to invite others to make commitments. Ask for ideas and suggestions. - **Evaluate your teaching.** After every teaching situation, evaluate how well you did. Did you focus on the doctrine? Did you invite investigators to repent and to make and keep commitments? Did you work to prepare them for baptism and confirmation? Did you use effective questions? Did you share your testimony? Did you ask for referrals? Adjust your lesson plans as you improve. As you learn the lessons, continue seeking a deep knowledge of the doctrine. Actively work to teach with greater power. As you study in prayer and faith, your knowledge and testimony will grow. However, do not try to teach all that you know. Teach the message clearly, simply, and based on individual needs, following the Spirit to teach “that portion that shall be meted unto every man” (D&C 84:85). ####']","D&C 84:85 advises that teachers should rely on the Spirit to guide them in what to say, ensuring that their teaching is clear, simple, and tailored to individual needs. This aligns with the guidance for Latter-day Saint Family Counselors to thoroughly understand lessons, teach by the Spirit, and focus on helping others strengthen their faith and make commitments. By following the Spirit, counselors can effectively teach gospel principles and help families grow spiritually."
Wht is the purpse of using the Bible Dictionary in study journals?,"['Defining Words (Page 35) We have a powerful message with a unique vocabulary. Just as a physician speaks differently in the family waiting room than in the operating room, so too must you learn to speak so that those who are unfamiliar with our message can understand what you are teaching. To prepare to help others understand unfamiliar words, study the list of key definitions and terms in the ”Ideas for Teaching“ section of each lesson. Become familiar with the definitions provided. Use True to the Faith and the Bible Dictionary to find definitions for other words. Write these definitions in your study journal. Share the definitions with your companion and others to see if you understand. If the definitions are unclear to others, revise your definitions based on the material you have studied. As you teach, seek to discern whether a word or principle is new to the person you are teaching. Take time to explain unfamiliar words or principles. Remember to teach for understanding so that you and those you teach “are edified and rejoice together” (D&C 50:22). #### Activity: Personal Study (Page 35) Turn to the lesson “The Message of the Restoration of the Gospel of Jesus Christ” located in chapter 3. Read the list of key definitions in the “Ideas for Teaching” section. Locate three other words in the lesson that you would like to define. Follow the suggestions given above in creating a definition for each. ## Study Ideas and Suggestions (Page 36) Each of the ideas and suggestions in this section can make your study time more rewarding and spiritually uplifting. Consider the following as you plan your study: - Always begin with a prayer. - Plan study activities that will build your faith in the Savior and use your time productively. - Plan your study around people, their needs, and preparing them for baptism, confirmation, and enduring to the end. Note your study plans in your daily planner. - Plan your study by asking: What will I be teaching today? How can I plan my study to best help those I teach? Which ideas and suggestions from this section will I incorporate in my study? As you plan your study activities, experiment with some of the ideas and suggestions that follow or with additional ideas you learn from others. ### Apply and Live What You Learn (Page 36) - “Liken” what you learn to yourself (see 1 Nephi 19:23). - Set goals to live what you are learning. - Substitute your name in a verse of scripture to personalize it. - Ask yourself, “How should I change as a result of what I have learned?” Set appropriate goals.']","The purpose of using the Bible Dictionary in study journals is to find definitions for unfamiliar words, which can then be written in the journal to aid understanding and teaching. This helps ensure that both the teacher and those being taught can understand and be edified by the message."
How can Latter-day Saints (LDS) improve their personal study habits according to the guidelines provided?,"['### Apply and Live What You Learn (Page 36) - “Liken” what you learn to yourself (see 1 Nephi 19:23). - Set goals to live what you are learning. - Substitute your name in a verse of scripture to personalize it. - Ask yourself, “How should I change as a result of what I have learned?” Set appropriate goals. #### Activity: Personal Study (Page 36) Select one of the following references. As you read and ponder your chosen passage, identify two or three ways you can apply it in your life. - 2 Nephi 31 - Alma 32:26–43 - Moroni 7:32–48 Evaluate how well you live the principles that you teach. Choose one way in which you can improve, and make plans to do so. ### Search, Ponder, and Remember (Page 36) - Be alert. Exercise, shower, and pray before you study. - Study at a desk or table where you can write (not lying down or sitting on your bed), organize your study materials, and remain alert. - Pray and ask for understanding. - Study by topic. - Ask yourself, “What is the author saying? What is the central message? How does this apply to me?” - Visualize what you are studying. For example, imagine what it was like for Ammon to stand before the Lamanite king. - Study the words of the living prophets (in the approved missionary library and Church magazines). - Write in your study journal questions you have, and use the scriptures, words of latter- day prophets, and other study resources to find answers. - A single verse of scripture may contain several ideas. Underline and mark words or phrases so that you distinguish between ideas in a single verse. - Share what you learn with other missionaries. You can learn much by explaining a doctrine or principle to another person. - Mark your scriptures and make notes in them. In the margins write scripture references that clarify the passages you are studying. - Memorize scripture passages that explain and support the principles you teach. ### Use Study Resources (Page 37) - Use the study aids in the LDS edition of the scriptures (Topical Guide, Bible Dictionary, Joseph Smith Translation, Index to the triple combination, chapter headings, footnotes, and maps). - Use the missionary lessons, the approved missionary library, Church magazines, and this manual. - Review chapter headings in the scriptures. This review will give you ideas about what to look for in the chapter. - Use your study journal to record and organize what you are learning. Frequently review the thoughts you have recorded. Organize your journal so that you can easily recall what you have learned. - Use this manual as a workbook. Use the space for notes to record impressions and ideas. - Study the scripture passages listed in this manual. Record in this manual or your study journal other scripture passages you have found. ###']","Latter-day Saints can improve their personal study habits by being alert, exercising, showering, and praying before studying. They should study at a desk or table where they can write, organize study materials, and remain alert. Praying for understanding, studying by topic, and visualizing what they are studying are also recommended. Additionally, they should study the words of living prophets, write questions in their study journal, and use scriptures and other resources to find answers. Marking scriptures, making notes, and memorizing passages that support the principles they teach are also suggested. Using study aids in the LDS edition of the scriptures and reviewing chapter headings can further enhance their study experience."
How do you use the Bible for study and understanding?,"['See the Big Picture (Page 37) - Get an overview, either by reading the book, chapter, or passage quickly or by reviewing headings. Seek to understand the context and background. - Try writing the main idea of the passage in a sentence or short paragraph. - Use the Bible and Church history maps to learn geography, distances, climate, and terrain. - Review the sequence of events and the culture. Read the historical information in the Bible Dictionary and the chapter and section summaries. #### Activity: Personal Study (Page 37) Read the chapter summaries of the books below and write an outline that describes the setting, main events, and main doctrines of each book. - 1 Nephi - Moses - Acts ### Explore the Details (Page 38) - Look for key words and make sure you understand what they mean. Use the footnotes, Bible Dictionary, or another dictionary for definitions. Examine surrounding words or phrases for clues to what the key words mean. - Look for connecting words, such as therefore, and again, thus, wherefore, and others. Then see how the preceding and following passages relate to each other. - Use the Topical Guide to see how the same word is used in other contexts or how other prophets use the same word. - Look for unfamiliar words or phrases and make sure you understand them. ### Marking Scriptures (Page 38) Marking your scriptures can assist you in thinking deeply about a passage or doctrine of the gospel. You can mark your scriptures in many ways. Find a method that works for you. Below are some guidelines for marking scriptures. - Use pencils or colored markers. Avoid using pens that bleed through the paper. - Shade, underline, bracket, or outline part of a verse, an entire verse, or a group of verses. - Avoid excessive marking. The benefit is lost if you cannot understand your markings because you have made too many notes, lines, and colors. - Underline only a few key words to highlight the verse, section, or chapter. - Circle or underline key words, and then use straight lines to link closely related words. - When a series of points in a verse or passage are related, number the points in the margin or text. - Use the footnotes as a resource for marking and interpreting the scriptures. - Place a symbol (such as a check mark) in the margin for key verses you feel are critical to remember. Marking your scriptures should help you focus on applying what you learn and on teaching others. Develop an approach that is consistent and helps you accomplish your purpose as a missionary. #### Activity: Personal Study (Page 38) Which suggestions have you not yet tried? Identify one suggestion from “Study Ideas and Suggestions” to try during your next personal or companion study session. #### Remember This (Page 38) - Pursuing the desire to learn is important to your salvation and your success as a missionary. - You learn the gospel by study, faith, and the power of the Holy Ghost. - Learning is a joy and brings many blessings. - Daily personal and companion study strengthens your faith and your ability to teach by the Spirit. - Use a variety of study methods that make the experience meaningful and enjoyable. ## Ideas for Study and Application (Page 39) ### Personal Study (Page 39) 1. Rate yourself on the following (1=never, 3=some of the time, and 5=almost always). - I think about the people I am teaching when I study. - Throughout the day I think about what I studied in the morning. - As I study, ideas come to my mind that have not occurred to me before. - I record spiritual impressions and ideas in an appropriate place. - I fall asleep as I study. - I look forward to personal study. - I look forward to companion study. Review your responses. What are you doing well? Do you wish any of your responses were different? Set one or two goals that will improve the quality of your study. 2. Review the “Consider This” questions at the beginning of this chapter. How do these questions influence your study? 3. Review the “Study Ideas and Suggestions.” Identify one suggestion from each category that you have not used, and try these ideas during your personal study. 4. Read Doctrine and Covenants 138:1–11. As you read these verses, answer the following questions: – What did President Smith have to do for his mind to be opened? – How did he feel about the doctrine he was thinking about? 5. Read the definition of knowledge in the Bible Dictionary and the references listed. In your study journal, write an answer to the question “What knowledge can help me serve effectively as a missionary?” 6. Select a doctrine from chapter 3 you would like to understand better. Write in your study journal questions you would like to answer. Carefully study that doctrine for a period of time (a few days), and pray specifically for increased understanding. Write what you learn. 7. Read 1 Nephi 10:17; 11:1–6. As you read these verses, answer the question “Why was Nephi able to learn what his father knew?”']","To use the Bible for study and understanding, you can get an overview by reading quickly or reviewing headings, seek to understand the context and background, and use maps to learn about geography and culture. You can also look for key words and use footnotes or dictionaries for definitions, and mark scriptures to think deeply about passages or doctrines."
What insights does Alma 17:2–3 provide about the blessings of studying the word of God?,"['### Companion Study (Page 39) 1. Read together the following passages. Answer the question “Why should we seek divine light?” - D&C 11:11–14, John 8:12, Psalm 119:105, and D&C 84:43–47. 2. Read together several of the passages below, and discuss blessings that come from studying the word of God. Which passages would best help those you teach? - 1 Nephi 10:19, 2 Nephi 32:3, Mosiah 1:6–7, Alma 17:2–3, Alma 32:42–43, Alma 37:44–46, Alma 49:30, D&C 90:24, D&C 130:19 and TG, “Scriptures, study of” and “Scriptures, value of,” 452–53 ###']",Alma 17:2–3 is included in a list of passages that are suggested for discussion on the blessings that come from studying the word of God. It implies that these verses offer valuable insights into the benefits of engaging with scripture.
What you think about Sermon on the Mount and how it help missionaries teach gospel?,"['District Meetings and Zone Conferences (Page 40) 1. Select a topic from one of the missionary lessons that you have carefully studied. Do the following: – Share two or three main points you learned from your study that were helpful in teaching that lesson. – Describe the way you approached your study that helped you discover these points (how you read, resources you used, questions you were researching, and so on). – Show how you recorded and organized the results of your study. If time permits, ask a few other missionaries to do the same. 2. This activity may be done individually or in small groups. Instruct the missionaries to select one of the following questions (or you may create some of your own questions). Have them write the question down. – Why are families so important in God’s plan? – Why do people have trials and suffering? – What is the role of the Spirit in conversion? Explain that they will have five to seven minutes to: – Find at least two scripture references that answer the question. – Write a simple interpretation of how the scriptures they chose answer the question. – Describe what they would do to remember the answer. – Describe what they would do to explore the question more deeply. Invite a few missionaries (or each group) to share their answers. Discuss their responses. 3. Ask the missionaries to write one or two questions about the gospel principles and doctrines from one of the lessons in chapter 3 for which they would like to find an answer. Invite the missionaries to share their questions with the group. For each question, discuss the following: – How will answering this question bless the life of the missionary? – How will it bless the lives of investigators? – How could a missionary find the answer? 4. Ask several missionaries to share a gospel principle that their companions have taught them. Ask them to explain the principle and how their companion taught it to them. 5. Organize missionaries into companionships or small groups. Assign each group to read one chapter from the Book of Mormon. Have each group select one idea from each of the categories in the section “Study Ideas and Suggestions.” Invite the groups to apply each suggestion as they read their chapter together. Allow 15 to 20 minutes for reading and discussion. Have each group explain the suggestions they used, how well the suggestions worked, and what they learned. 6. Invite each missionary to think of a story or event in the scriptures that has meaning to him or her (such as Lehi’s vision of the tree of life, King Benjamin’s sermon, the Sermon on the Mount, or Christ’s appearance to the Nephites). Invite the missionaries to sketch or describe how they visualize the accounts they have chosen. Invite two or three missionaries to share what they visualize. Ask others to tell the stories and relate them to doctrines in one of the lessons. Read Moroni 10:3 and discuss the value of pondering deeply about spiritual knowledge. ###']","Missionaries are invited to think of stories or events in the scriptures, such as the Sermon on the Mount, that have meaning to them. They are encouraged to visualize these accounts and relate them to doctrines in one of the lessons, which helps in teaching the gospel effectively."
How does the 'Preach My Gospel' manual guide mission presidents in supporting missionaries' personal and companion study?,"['Mission President (Page 41) 1. Invite missionaries to bring their study journals to interviews. Invite them to share one entry with you. 2. During interviews, ask some of the following questions: – What impressions have you had recently in your scripture study? – What is one gospel principle that your companion has recently taught you? – What chapter or section of this manual has helped you most in the past two weeks? – What are you doing in your personal study that helps you learn the most? 3. During zone conferences, invite missionaries to share meaningful experiences they have had in their personal and companion study. 4. During zone conferences, allow missionaries to share personal study ideas. 5. Share with missionaries insights you have had in your personal study. Share entries from your study journal and your testimony of the importance of gospel study. 6. As you can, join missionaries in their companion study. 7. During interviews, invite missionaries to share one of their lesson plans from one of the missionary lessons. Ask them what these doctrines mean to them. > Beginning of chapter 3 of the 13 chapters in the preach my gospel manual #']","The 'Preach My Gospel' manual advises mission presidents to engage with missionaries by inviting them to bring their study journals to interviews and share entries. It suggests asking questions about recent scripture study impressions, gospel principles learned from companions, and helpful chapters or sections of the manual. During zone conferences, mission presidents are encouraged to invite missionaries to share meaningful experiences and personal study ideas. They should also share their own insights and testimony of gospel study, join missionaries in companion study when possible, and discuss lesson plans during interviews."
How should a Latter-day Saint Family Counselor approach teaching the essential doctrines of Jesus Christ to ensure spiritual growth and commitment before and after baptism?,"['What Do I Study and Teach? (Page 43) The lessons in this chapter contain the essential doctrines, principles, and commandments that you are to study, believe, love, live, and teach. They are what the living prophets and apostles have directed you to teach. They are organized so that you can help others clearly understand the doctrines of Christ. The lessons in this chapter are: 1. The Message of the Restoration of the Gospel of Jesus Christ 2. The Plan of Salvation 3. The Gospel of Jesus Christ 4. The Commandments 5. Laws and Ordinances Teach the first four lessons before baptism. Make sure those you teach qualify for baptism and confirmation by making and keeping all of the commitments in these lessons. Full-time missionaries take the lead in teaching lessons before baptism with the help of ward missionaries and other members. After baptism, new members are taught the first four lessons again, as well as “Laws and Ordinances.” Ward leaders determine whether ward missionaries or full-time missionaries lead out in ensuring that these lessons are taught and how long full-time missionaries are involved. Encourage each new member to keep all the commitments in these lessons. You should also use these lessons in individual and companion study, district meetings, and other training settings. As you study the scriptures and treasure up in your mind the doctrines in these lessons, the Spirit will give you in the very hour what you should say and do to help others receive a witness of the truthfulness of the teachings. As a missionary, you have a great responsibility to teach from the heart and by the Spirit. The First Presidency and the Quorum of the Twelve Apostles stated: “Our purpose is to teach the message of the restored gospel in such a way as to allow the Spirit to direct both the missionaries and those being taught. It is essential to learn the concepts of the [lessons], but these should not be taught by rote presentation. The missionary should feel free to use his own words as prompted by the Spirit. He should not give a memorized recitation, but speak from the heart in his own terms. He may depart from the order of the lessons, giving that which he is inspired to do, according to the interest and needs of the investigator. Speaking out of his own conviction and in his own words he should bear testimony of the truth of his teachings” (“Statement on Missionary Work,” First Presidency letter, 11 Dec. 2002). As you and your companion study these lessons and prepare to teach, keep firmly in mind these instructions. Make sure that you teach all the doctrines in these lessons. Unless directed by the Spirit, for each of the first three lessons, you should give the full content in the order in which they are written. A few of the commandments may also be included as appropriate or be taught as lessons of their own. Each lesson outlines the baptismal interview questions, commitments, and doctrines that you are to teach. Thoroughly learn the doctrines. Consistently focus on helping those you teach make and keep the commitments. Use the baptismal interview questions to prepare those you teach for baptism and confirmation. The lessons also have ideas for teaching. Use these suggestions to strengthen how you prepare and teach. ###']","A Latter-day Saint Family Counselor should approach teaching the essential doctrines of Jesus Christ by focusing on the lessons outlined in the chapter, which include the Message of the Restoration of the Gospel of Jesus Christ, the Plan of Salvation, the Gospel of Jesus Christ, and the Commandments. These lessons should be taught before baptism to ensure that those being taught qualify for baptism and confirmation by making and keeping all the commitments. After baptism, new members should be taught these lessons again, along with 'Laws and Ordinances.' The teaching should be done from the heart and by the Spirit, allowing the Spirit to direct both the missionaries and those being taught. The counselor should not rely on rote presentation but should speak from personal conviction and in their own words, bearing testimony of the truth of the teachings. The lessons should be used in individual and companion study, district meetings, and other training settings to help others receive a witness of the truthfulness of the teachings."
Why is it important to study D&C 84:85 in the context of missionary lessons?,"['The Role of Memorization (Page 44) Memorize scriptures to use in your teaching. Commit to memory the sequence of the doctrinal points in each of the missionary lessons. Missionaries learning a second language should focus their language study on preparing to teach the missionary lessons. They should memorize vocabu- lary, phrases, sentence patterns, and brief statements of doctrine as they appear in the lesson, but only after these have become personally meaningful. Do not memorize entire lessons. ### Teach with Clarity (Page 44) At the end of the first three lessons is a list of words that may be unfamiliar to those you teach. Learn how to define these words simply. As you teach, do all you can to make the message easy to understand. ### Scripture Study (Page 44) What are you directed to teach? Study Mosiah 18:18–20, D&C 43:15–16 and D&C 52:9 to find the answers to this question. Why must you study the doctrines in the lessons? Study Alma 17:2–3 and D&C 84:85 to find answers to this question. > Lesson One # 1. The Message of the Restoration of the Gospel of Jesus Christ (Page 45) ## Your Purpose (Page 45) As you teach, prepare your investigators to meet the qualifications for baptism taught in Doctrine and Covenants 20:37 and in the baptismal interview questions. This is best accomplished by inviting your investigators to make and keep the commitments listed below. ### Baptismal Interview Questions (Page 45) - Do you believe that God is our Eternal Father?']","Studying D&C 84:85 is important because it helps missionaries understand why they must study the doctrines in the lessons, ensuring they are prepared to teach effectively."
what do it mean when we say Heavenly Father loves us and how we show love back?,"['The Message of the Restoration of the Gospel of Jesus Christ (Page 45) ## Your Purpose (Page 45) As you teach, prepare your investigators to meet the qualifications for baptism taught in Doctrine and Covenants 20:37 and in the baptismal interview questions. This is best accomplished by inviting your investigators to make and keep the commitments listed below. ### Baptismal Interview Questions (Page 45) - Do you believe that God is our Eternal Father? - Do you believe that Jesus Christ is the Son of God, the Savior and Redeemer of the world? - Do you believe that the Church and the gospel of Jesus Christ have been restored through the Prophet Joseph Smith? - Do you believe that [current Church President] is a prophet of God? What does this mean to you? ### Commitments (Page 45) - Will you read and pray to know that the Book of Mormon is the word of God? - Will you pray to know that Joseph Smith was a prophet? - Will you attend church with us this Sunday? - May we set a time for our next visit? - Other commandments from lesson 4 that you choose to include. > Lesson one: First Principle ## God Is Our Loving Heavenly Father (Page 45) God is our Heavenly Father. We are His children. He has a body of flesh and bone that is glorified and perfected. He loves us. He weeps with us when we suffer and rejoices when we do what is right. He wants to communicate with us, and we can communicate with Him through sincere prayer. He has given us this experience on the earth so we can learn and grow. We can show our love for Him through our choices and our obedience to His commandments. Heavenly Father has provided us, His children, with a way to be successful in this life and to return to live in His presence. However, we must be pure and clean through obedience in order to do so. Disobedience moves us away from Him. Central to our Father’s plan is Jesus Christ’s Atonement. The Atonement included His suffering in the Garden of Gethsemane as well as His suffering and death on the cross. Through the Atonement we can be freed from the burden of our sins and develop faith and strength to face our trials. ### Belief about God (Page 46) Determine what each person you are teaching understands regarding Christian beliefs about God. Many people in today’s world either have no concept of God or a very different perception of Deity. Two Book of Mormon missionaries, Ammon and Aaron, taught people who did not have a Christian background. They taught simple truths and invited their investigators to pray. Lamoni and his father were converted. Read Alma 18:24–40 and 22:4–23, and answer the questions below: - What did these missionaries teach about the nature of God? - How can you follow their examples? #### Scripture Study (Page 46) **What is the nature of God the Father and Jesus Christ?** Study the following scriptures to find answers to the question. | | | | | --- | --- | --- | | 1 Nephl 17:36 | 3 Nephl 27:13-22 | John 3:16-17 | | 2 Nephi 9:6 | D&C 38:1-3 | Acts 17:27-29 | | Mosiah 4:9 | D&C 130:22 | Romans 8:16 | | 3 Nephi 12:48 | Moses 1:39 | Hebrews 12:9 | | 3 Nephi 14:9-11 | Matthew 5:48 | 1 John 4:7-9 | > Lesson Two: Second Principle ##']","God is our Heavenly Father, and we are His children. He loves us, weeps with us when we suffer, and rejoices when we do what is right. We can show our love for Him through our choices and our obedience to His commandments. Heavenly Father has provided us with a way to be successful in this life and to return to live in His presence, but we must be pure and clean through obedience to do so."
How does Heavenly Father reveal His gospel in every dispensation?,"['The Gospel Blesses Families (Page 46) The restored gospel blesses and helps husbands and wives, parents and children as they strive to develop stronger relationships and spiritual strength in their families. These blessings are available now and in eternity. The gospel of Jesus Christ provides help with current concerns and challenges. Because families are ordained of God, they are the most important social unit in time and in eternity. God has established families to bring happiness to His children, allow them to learn correct principles in a loving atmosphere, and prepare them for eternal life. The home is the best place to teach, learn, and apply principles of the gospel of Jesus Christ. A home established on gospel principles will be a place of refuge and safety. It will be a place where the Spirit of the Lord can abide, blessing family members with peace, joy, and happiness. Through prophets in every age, including our own, God has revealed His plan of happiness for individuals and families. > Lesson Three: Third Principle ## Heavenly Father Reveals His Gospel in Every Dispensation (Page 46) One important way that God shows His love for us is by calling prophets, who are given the priesthood—the power and authority given to man to act in God’s name for the salvation of His children. Prophets learn the gospel of Jesus Christ by revelation. They in turn teach the gospel to others and testify of Jesus Christ as the Savior and Redeemer. The teachings of prophets are found in sacred books called scriptures. Our Father’s plan for us to be successful in this life and to return to live with Him is called the gospel of Jesus Christ, with Jesus’ Atonement at the center of that plan. Through the Atonement of Jesus Christ, we can receive eternal life if we exercise faith in Jesus Christ, repent, are baptized by immersion for the remission of sins, receive the gift of the Holy Ghost, and endure to the end. “This is the way; and there is none other way nor name given under heaven whereby man can be saved in the kingdom of God. And now, behold, this is the doctrine of Christ” (2 Nephi 31:21). All people have the gift of agency, which includes the freedom to accept or reject the gospel as taught by the prophets and apostles. Those who choose to obey are blessed, but those who ignore, reject, or distort the gospel do not receive God’s promised blessings. Whenever people choose to disregard, disobey, or distort any gospel principle or ordinance, whenever they reject the Lord’s prophets, or whenever they fail to endure in faith, they distance themselves from God and begin to live in spiritual darkness. Eventually this leads to a condition called apostasy. When widespread apostasy occurs, God withdraws His priesthood authority to teach and administer the ordinances of the gospel. Biblical history has recorded many instances of God speaking to prophets, and it also tells of many instances of apostasy. To end each period of general apostasy, God has shown His love for His children by calling another prophet and giving him priesthood authority to restore and teach the gospel of Jesus Christ anew. In essence, the prophet acts as a steward to oversee the household of God here on earth. Such periods of time headed by prophetic responsibility are called dispensations. God revealed the gospel of Jesus Christ to Adam and gave him priesthood authority. Adam was the first prophet on the earth. By revelation, Adam learned of mankind’s proper relationship with God the Father, His Son Jesus Christ, and the Holy Ghost; of the Atonement and Resurrection of Jesus Christ; and of the first principles and ordinances of the gospel. Adam and Eve taught their children these truths and encouraged them to develop faith and to live the gospel in all aspects of their lives. Adam was followed by other prophets, but over time the posterity of Adam rejected the gospel and fell into apostasy, choosing to be unrighteous. Thus began the pattern of prophetic dispensations that makes up much of the recorded history of the Old Testament. Heavenly Father revealed His gospel through direct communication to prophets such as Noah, Abraham, and Moses. Each prophet was called by God to begin a new dispensation of the gospel. To each of these prophets God granted priesthood authority and revealed eternal truths. Unfortunately, in each dispensation people eventually used their agency to choose to reject the gospel and then fell into apostasy. ### Prophets (Page 48) Determine what the person you are teaching understands about prophets. In most cultures there are people who believe that holy or inspired people receive some form of guidance and direction from Deity. However, not all inspired individuals are prophets of God as defined in the restored gospel. Explain clearly that God establishes His kingdom on the earth by calling a prophet to establish a new dispensation. He gives that prophet priesthood authority. The prophet then helps people understand their relationship to Deity, including how to receive eternal life through the gospel of Jesus Christ. You might wonder how gospel dispensations are relevant when teaching people who do not have a Christian background or culture. But you will find that by briefly relating the history of gospel dispensations, you can help people understand that God loves His children and that He is the same yesterday, today, and forever.']","Heavenly Father reveals His gospel in every dispensation by calling prophets, who are given the priesthood—the power and authority to act in God’s name for the salvation of His children. Prophets learn the gospel of Jesus Christ by revelation and teach it to others, testifying of Jesus Christ as the Savior and Redeemer. This process establishes a new dispensation, where the prophet helps people understand their relationship to Deity and how to receive eternal life through the gospel of Jesus Christ."
